Pos,No,Driver,Team,Laps,Time,Grid,Pts,Season,Race,RaceNo
1,8,Fernando Alonso,Ferrari,49,1:39:20.396,3,25,2010,Bahrain,1
2,7,Felipe Massa,Ferrari,49,+16.0 secs,2,18,2010,Bahrain,1
3,2,Lewis Hamilton,McLaren-Mercedes,49,+23.1 secs,4,15,2010,Bahrain,1
4,5,Sebastian Vettel,RBR-Renault,49,+38.7 secs,1,12,2010,Bahrain,1
5,4,Nico Rosberg,Mercedes GP,49,+40.2 secs,5,10,2010,Bahrain,1
6,3,Michael Schumacher,Mercedes GP,49,+44.1 secs,7,8,2010,Bahrain,1
7,1,Jenson Button,McLaren-Mercedes,49,+45.2 secs,8,6,2010,Bahrain,1
8,6,Mark Webber,RBR-Renault,49,+46.3 secs,6,4,2010,Bahrain,1
9,15,Vitantonio Liuzzi,Force India-Mercedes,49,+53.0 secs,12,2,2010,Bahrain,1
10,9,Rubens Barrichello,Williams-Cosworth,49,+62.4 secs,11,1,2010,Bahrain,1
11,11,Robert Kubica,Renault,49,+69.0 secs,9,0,2010,Bahrain,1
12,14,Adrian Sutil,Force India-Mercedes,49,+82.9 secs,10,0,2010,Bahrain,1
13,17,Jaime Alguersuari,STR-Ferrari,49,+92.6 secs,18,0,2010,Bahrain,1
14,10,Nico Hulkenberg,Williams-Cosworth,48,+1 Lap,13,0,2010,Bahrain,1
15,19,Heikki Kovalainen,Lotus-Cosworth,47,+2 Laps,21,0,2010,Bahrain,1
16,16,Sebastien Buemi,STR-Ferrari,46,+3 Laps,15,0,2010,Bahrain,1
17,18,Jarno Trulli,Lotus-Cosworth,46,Hydraulics,20,0,2010,Bahrain,1
Ret,22,Pedro de la Rosa,BMW Sauber-Ferrari,28,Hydraulics,14,0,2010,Bahrain,1
Ret,21,Bruno Senna,HRT-Cosworth,17,Mechanical,23,0,2010,Bahrain,1
Ret,24,Timo Glock,Virgin-Cosworth,16,Gearbox,19,0,2010,Bahrain,1
Ret,12,Vitaly Petrov,Renault,13,Suspension,17,0,2010,Bahrain,1
Ret,23,Kamui Kobayashi,BMW Sauber-Ferrari,11,Hydraulics,16,0,2010,Bahrain,1
Ret,25,Lucas di Grassi,Virgin-Cosworth,2,Hydraulics,22,0,2010,Bahrain,1
Ret,20,Karun Chandhok,HRT-Cosworth,1,Accident,24,0,2010,Bahrain,1
1,1,Jenson Button,McLaren-Mercedes,58,1:33:36.531,4,25,2010,Australia,2
2,11,Robert Kubica,Renault,58,+12.0 secs,9,18,2010,Australia,2
3,7,Felipe Massa,Ferrari,58,+14.4 secs,5,15,2010,Australia,2
4,8,Fernando Alonso,Ferrari,58,+16.3 secs,3,12,2010,Australia,2
5,4,Nico Rosberg,Mercedes GP,58,+16.6 secs,6,10,2010,Australia,2
6,2,Lewis Hamilton,McLaren-Mercedes,58,+29.8 secs,11,8,2010,Australia,2
7,15,Vitantonio Liuzzi,Force India-Mercedes,58,+59.8 secs,13,6,2010,Australia,2
8,9,Rubens Barrichello,Williams-Cosworth,58,+60.5 secs,8,4,2010,Australia,2
9,6,Mark Webber,RBR-Renault,58,+67.3 secs,2,2,2010,Australia,2
10,3,Michael Schumacher,Mercedes GP,58,+69.3 secs,7,1,2010,Australia,2
11,17,Jaime Alguersuari,STR-Ferrari,58,+71.3 secs,17,0,2010,Australia,2
12,22,Pedro de la Rosa,BMW Sauber-Ferrari,58,+74.0 secs,14,0,2010,Australia,2
13,19,Heikki Kovalainen,Lotus-Cosworth,56,+2 Laps,19,0,2010,Australia,2
14,20,Karun Chandhok,HRT-Cosworth,53,+5 Laps,22,0,2010,Australia,2
Ret,24,Timo Glock,Virgin-Cosworth,41,Suspension,23,0,2010,Australia,2
Ret,25,Lucas di Grassi,Virgin-Cosworth,26,Hydraulics,24,0,2010,Australia,2
Ret,5,Sebastian Vettel,RBR-Renault,25,Wheel issue,1,0,2010,Australia,2
Ret,14,Adrian Sutil,Force India-Mercedes,9,Engine,10,0,2010,Australia,2
Ret,12,Vitaly Petrov,Renault,9,Spin,18,0,2010,Australia,2
Ret,21,Bruno Senna,HRT-Cosworth,4,Hydraulics,21,0,2010,Australia,2
Ret,16,Sebastien Buemi,STR-Ferrari,0,Accident,12,0,2010,Australia,2
Ret,10,Nico Hulkenberg,Williams-Cosworth,0,Accident,15,0,2010,Australia,2
Ret,23,Kamui Kobayashi,BMW Sauber-Ferrari,0,Accident,16,0,2010,Australia,2
Ret,18,Jarno Trulli,Lotus-Cosworth,0,Hydraulics,20,0,2010,Australia,2
1,5,Sebastian Vettel,RBR-Renault,56,1:33:48.412,3,25,2010,Malaysia,3
2,6,Mark Webber,RBR-Renault,56,+4.8 secs,1,18,2010,Malaysia,3
3,4,Nico Rosberg,Mercedes GP,56,+13.5 secs,2,15,2010,Malaysia,3
4,11,Robert Kubica,Renault,56,+18.5 secs,6,12,2010,Malaysia,3
5,14,Adrian Sutil,Force India-Mercedes,56,+21.0 secs,4,10,2010,Malaysia,3
6,2,Lewis Hamilton,McLaren-Mercedes,56,+23.4 secs,20,8,2010,Malaysia,3
7,7,Felipe Massa,Ferrari,56,+27.0 secs,21,6,2010,Malaysia,3
8,1,Jenson Button,McLaren-Mercedes,56,+37.9 secs,17,4,2010,Malaysia,3
9,17,Jaime Alguersuari,STR-Ferrari,56,+70.6 secs,14,2,2010,Malaysia,3
10,10,Nico Hulkenberg,Williams-Cosworth,56,+73.3 secs,5,1,2010,Malaysia,3
11,16,Sebastien Buemi,STR-Ferrari,56,+78.9 secs,13,0,2010,Malaysia,3
12,9,Rubens Barrichello,Williams-Cosworth,55,+1 Lap,7,0,2010,Malaysia,3
13,8,Fernando Alonso,Ferrari,54,+2 Laps,19,0,2010,Malaysia,3
14,25,Lucas di Grassi,Virgin-Cosworth,53,+3 Laps,24,0,2010,Malaysia,3
15,20,Karun Chandhok,HRT-Cosworth,53,+3 Laps,22,0,2010,Malaysia,3
16,21,Bruno Senna,HRT-Cosworth,52,+4 Laps,23,0,2010,Malaysia,3
17,18,Jarno Trulli,Lotus-Cosworth,51,+5 Laps,18,0,2010,Malaysia,3
DNS,22,Pedro de la Rosa,BMW Sauber-Ferrari,0,Engine,12,0,2010,Malaysia,3
Ret,19,Heikki Kovalainen,Lotus-Cosworth,46,Hydraulics,15,0,2010,Malaysia,3
Ret,12,Vitaly Petrov,Renault,32,Gearbox,11,0,2010,Malaysia,3
Ret,15,Vitantonio Liuzzi,Force India-Mercedes,12,Throttle,10,0,2010,Malaysia,3
Ret,3,Michael Schumacher,Mercedes GP,9,Wheel issue,8,0,2010,Malaysia,3
Ret,23,Kamui Kobayashi,BMW Sauber-Ferrari,8,Engine,9,0,2010,Malaysia,3
Ret,24,Timo Glock,Virgin-Cosworth,2,Spin,16,0,2010,Malaysia,3
1,1,Jenson Button,McLaren-Mercedes,56,1:46:42.163,5,25,2010,China,4
2,2,Lewis Hamilton,McLaren-Mercedes,56,+1.5 secs,6,18,2010,China,4
3,4,Nico Rosberg,Mercedes GP,56,+9.4 secs,4,15,2010,China,4
4,8,Fernando Alonso,Ferrari,56,+11.8 secs,3,12,2010,China,4
5,11,Robert Kubica,Renault,56,+22.2 secs,8,10,2010,China,4
6,5,Sebastian Vettel,RBR-Renault,56,+33.3 secs,1,8,2010,China,4
7,12,Vitaly Petrov,Renault,56,+47.6 secs,14,6,2010,China,4
8,6,Mark Webber,RBR-Renault,56,+52.1 secs,2,4,2010,China,4
9,7,Felipe Massa,Ferrari,56,+57.7 secs,7,2,2010,China,4
10,3,Michael Schumacher,Mercedes GP,56,+61.7 secs,9,1,2010,China,4
11,14,Adrian Sutil,Force India-Mercedes,56,+62.8 secs,10,0,2010,China,4
12,9,Rubens Barrichello,Williams-Cosworth,56,+63.6 secs,11,0,2010,China,4
13,17,Jaime Alguersuari,STR-Ferrari,56,+71.4 secs,12,0,2010,China,4
14,19,Heikki Kovalainen,Lotus-Cosworth,55,+1 Lap,21,0,2010,China,4
15,10,Nico Hulkenberg,Williams-Cosworth,55,+1 Lap,16,0,2010,China,4
